import time: self [us] | cumulative | imported package
import time:        98 |         98 |                       importlib.metadata._functools
import time:       124 |        221 |                     importlib.metadata._text
import time:       326 |        547 |                   importlib.metadata._adapters
import time:       378 |        378 |                   importlib.metadata._meta
import time:       209 |        209 |                   importlib.metadata._collections
import time:        97 |         97 |                   importlib.metadata._itertools
import time:       545 |        545 |                         tempfile
import time:       302 |        302 |                         importlib.resources.abc
import time:       235 |        235 |                         importlib.resources._adapters
import time:       348 |       1428 |                       importlib.resources._common
import time:       128 |        128 |                       importlib.resources._legacy
import time:       130 |       1685 |                     importlib.resources
import time:       311 |       1995 |                   importlib.abc
import time:      1072 |      13667 |                 importlib.metadata
import time:       109 |      13775 |               urllib3.http2
import time:       158 |        158 |               urllib3.http2.probe
import time:       124 |        124 |               urllib3.util.ssl_match_hostname
import time:       630 |      14685 |             urllib3.connection
import time:        73 |         73 |             backports
import time:       542 |      15416 |           urllib3.response
import time:       210 |      16518 |         urllib3._request_methods
import time:        88 |         88 |         urllib3.util.proxy
import time:       344 |      17428 |       urllib3.connectionpool
import time:       743 |        743 |       urllib3.poolmanager
import time:       283 |      52209 |     urllib3
import time:       294 |        294 |             81d243bd2c585b0f4821__mypyc
import time:      1004 |       1004 |             charset_normalizer.constant
import time:        48 |         48 |               unicodedata
import time:        65 |         65 |               _multibytecodec
import time:       333 |        445 |             charset_normalizer.utils
import time:       593 |        593 |             charset_normalizer.models
import time:       395 |       2729 |           charset_normalizer.cd
import time:        26 |         26 |           _codecs_tw
import time:        25 |         25 |           _codecs_hk
import time:        42 |         42 |           _codecs_jp
import time:        24 |         24 |           _codecs_kr
import time:        31 |         31 |           _codecs_cn
import time:        29 |         29 |           _codecs_iso2022
import time:     14457 |      17359 |         charset_normalizer.api
import time:       115 |        115 |         charset_normalizer.legacy
import time:        69 |         69 |         charset_normalizer.version
import time:        73 |         73 |         simplejson
import time:       159 |        159 |           copy
import time:       209 |        209 |               urllib.response
import time:       152 |        360 |             urllib.error
import time:      1206 |       1566 |           urllib.request
import time:      1932 |       3656 |         http.cookiejar
import time:       979 |        979 |         http.cookies
import time:       424 |      22672 |       requests.compat
import time:       403 |      23075 |     requests.exceptions
import time:       124 |        124 |     chardet
import time:       158 |        158 |           idna.idnadata
import time:       110 |        110 |           idna.intranges
import time:       829 |       1097 |         idna.core
import time:        88 |         88 |         idna.package_data
import time:       197 |       1381 |       idna
import time:       356 |       1736 |     requests.packages
import time:       118 |        118 |           certifi.core
import time:       121 |        239 |         certifi
import time:        80 |        318 |       requests.certs
import time:        73 |         73 |       requests.__version__
import time:       268 |        268 |       requests._internal_utils
import time:       337 |        337 |       requests._types
import time:       502 |        502 |       requests.cookies
import time:       198 |        198 |       requests.structures
import time:        65 |         65 |           importlib.resources._itertools
import time:       209 |        274 |         importlib.resources.readers
import time:        86 |        359 |       importlib.readers
import time:       709 |       2761 |     requests.utils
import time:       200 |        200 |           requests.auth
import time:       224 |        224 |               stringprep
import time:       183 |        406 |             encodings.idna
import time:        88 |         88 |             requests.hooks
import time:       300 |        300 |             requests.status_codes
import time:       442 |       1234 |           requests.models
import time:        93 |         93 |             urllib3.contrib
import time:       403 |        403 |             socks
import time:       352 |        847 |           urllib3.contrib.socks
import time:       301 |       2579 |         requests.adapters
import time:       247 |       2826 |       requests.sessions
import time:       131 |       2956 |     requests.api
import time:       305 |      83506 |   requests
import time:       112 |        112 |     hybrid_shell
import time:       311 |        422 |   hybrid_shell.hs
import time:       271 |        271 |       pkgutil
import time:       254 |        525 |     PyQt5
import time:       340 |        340 |     PyQt5.sip
import time:      8376 |       8376 |     PyQt5.QtCore
import time:      4801 |       4801 |     PyQt5.QtGui
import time:     13465 |      27505 |   PyQt5.QtWidgets
import time:      1681 |       1681 |         PyQt5.QtNetwork
import time:       428 |        428 |         PyQt5.QtPrintSupport
import time:       543 |        543 |         PyQt5.QtWebEngineCore
import time:       189 |        189 |         PyQt5.QtWebChannel
import time:     16271 |      19111 |       PyQt5.QtWebEngineWidgets
import time:       277 |      19387 |     mainwindow_ui
import time:       253 |        253 |     settings_ui
import time:        92 |         92 |     subwindow
import time:       140 |        140 |     config_manager
import time:        74 |         74 |             langchain_core._import_utils
import time:       155 |        228 |           langchain_core._api
import time:        82 |         82 |           langchain_core._api.internal
import time:      2596 |       2596 |                       typing_extensions
import time:      1087 |       1087 |                       pydantic_core._pydantic_core
import time:       317 |        317 |                             numbers
import time:       461 |        777 |                           _decimal
import time:       128 |        905 |                         decimal
import time:       138 |        138 |                                 concurrent
import time:       474 |        474 |                                 concurrent.futures._base
import time:       138 |        749 |                               concurrent.futures
import time:       492 |        492 |                                 signal
import time:        65 |         65 |                                 fcntl
import time:       134 |        134 |                                 msvcrt
import time:        32 |         32 |                                 _posixsubprocess
import time:       508 |       1228 |                               subprocess
import time:       238 |        238 |                               asyncio.constants
import time:       104 |        104 |                               asyncio.coroutines
import time:        25 |         25 |                                   _contextvars
import time:       167 |        191 |                                 contextvars
import time:       135 |        135 |                                 asyncio.format_helpers
import time:       101 |        101 |                                   asyncio.base_futures
import time:       159 |        159 |                                   asyncio.exceptions
import time:       137 |        137 |                                   asyncio.base_tasks
import time:       209 |        604 |                                 _asyncio
import time:       927 |       1857 |                               asyncio.events
