import time: self [us] | cumulative | imported package
import time:        84 |         84 |                       importlib.metadata._functools
import time:       103 |        186 |                     importlib.metadata._text
import time:       202 |        388 |                   importlib.metadata._adapters
import time:       285 |        285 |                   importlib.metadata._meta
import time:       175 |        175 |                   importlib.metadata._collections
import time:        89 |         89 |                   importlib.metadata._itertools
import time:       363 |        363 |                         tempfile
import time:       250 |        250 |                         importlib.resources.abc
import time:       202 |        202 |                         importlib.resources._adapters
import time:       297 |       1110 |                       importlib.resources._common
import time:       119 |        119 |                       importlib.resources._legacy
import time:       102 |       1330 |                     importlib.resources
import time:       252 |       1582 |                   importlib.abc
import time:       924 |      10969 |                 importlib.metadata
import time:       105 |      11074 |               urllib3.http2
import time:       142 |        142 |               urllib3.http2.probe
import time:       116 |        116 |               urllib3.util.ssl_match_hostname
import time:       587 |      11917 |             urllib3.connection
import time:        69 |         69 |             backports
import time:       473 |      12569 |           urllib3.response
import time:       185 |      13389 |         urllib3._request_methods
import time:        85 |         85 |         urllib3.util.proxy
import time:       336 |      14286 |       urllib3.connectionpool
import time:       719 |        719 |       urllib3.poolmanager
import time:       291 |      49845 |     urllib3
import time:       320 |        320 |             81d243bd2c585b0f4821__mypyc
import time:       959 |        959 |             charset_normalizer.constant
import time:        50 |         50 |               unicodedata
import time:        41 |         41 |               _multibytecodec
import time:       315 |        406 |             charset_normalizer.utils
import time:       579 |        579 |             charset_normalizer.models
import time:       363 |       2626 |           charset_normalizer.cd
import time:        24 |         24 |           _codecs_tw
import time:        26 |         26 |           _codecs_hk
import time:        44 |         44 |           _codecs_jp
import time:        25 |         25 |           _codecs_kr
import time:        31 |         31 |           _codecs_cn
import time:        26 |         26 |           _codecs_iso2022
import time:     14169 |      16968 |         charset_normalizer.api
import time:       124 |        124 |         charset_normalizer.legacy
import time:        74 |         74 |         charset_normalizer.version
import time:        88 |         88 |         simplejson
import time:       234 |        234 |           copy
import time:       271 |        271 |               urllib.response
import time:       204 |        475 |             urllib.error
import time:      1339 |       1813 |           urllib.request
import time:      2047 |       4093 |         http.cookiejar
import time:       900 |        900 |         http.cookies
import time:       429 |      22673 |       requests.compat
import time:       435 |      23108 |     requests.exceptions
import time:       112 |        112 |     chardet
import time:       195 |        195 |           idna.idnadata
import time:        93 |         93 |           idna.intranges
import time:       775 |       1062 |         idna.core
import time:        78 |         78 |         idna.package_data
import time:       206 |       1345 |       idna
import time:       335 |       1679 |     requests.packages
import time:       118 |        118 |           certifi.core
import time:       117 |        234 |         certifi
import time:        79 |        312 |       requests.certs
import time:        69 |         69 |       requests.__version__
import time:       254 |        254 |       requests._internal_utils
import time:       292 |        292 |       requests._types
import time:       434 |        434 |       requests.cookies
import time:       194 |        194 |       requests.structures
import time:        66 |         66 |           importlib.resources._itertools
import time:       220 |        286 |         importlib.resources.readers
import time:        89 |        374 |       importlib.readers
import time:       768 |       2695 |     requests.utils
import time:       202 |        202 |           requests.auth
import time:       233 |        233 |               stringprep
import time:       187 |        420 |             encodings.idna
import time:        81 |         81 |             requests.hooks
import time:       276 |        276 |             requests.status_codes
import time:       397 |       1173 |           requests.models
import time:        84 |         84 |             urllib3.contrib
import time:       378 |        378 |             socks
import time:       337 |        798 |           urllib3.contrib.socks
import time:       305 |       2477 |         requests.adapters
import time:       255 |       2731 |       requests.sessions
import time:       135 |       2866 |     requests.api
import time:       316 |      81047 |   requests
import time:       110 |        110 |     hybrid_shell
import time:       309 |        419 |   hybrid_shell.hs
import time:       277 |        277 |       pkgutil
import time:       258 |        535 |     PyQt5
import time:       336 |        336 |     PyQt5.sip
import time:      6328 |       6328 |     PyQt5.QtCore
import time:      5348 |       5348 |     PyQt5.QtGui
import time:     12624 |      25169 |   PyQt5.QtWidgets
import time:      1716 |       1716 |         PyQt5.QtNetwork
import time:       434 |        434 |         PyQt5.QtPrintSupport
import time:       554 |        554 |         PyQt5.QtWebEngineCore
import time:       187 |        187 |         PyQt5.QtWebChannel
import time:     16031 |      18919 |       PyQt5.QtWebEngineWidgets
import time:       280 |      19199 |     mainwindow_ui
import time:       255 |        255 |     settings_ui
import time:        92 |         92 |     subwindow
import time:       143 |        143 |     config_manager
import time:       302 |        302 |     settings
import time:     10301 |      30288 |   mainwindow
import time:       974 |     145137 | main
