import time: self [us] | cumulative | imported package
import time:       346 |        346 |                               pydantic._internal._namespace_utils
import time:       567 |        912 |                             pydantic._internal._typing_extra
import time:       216 |       1128 |                           pydantic._internal._repr
import time:       294 |       3954 |                         pydantic.errors
import time:       212 |      41160 |                       pydantic
import time:      6759 |       6759 |                       annotated_types
import time:      2319 |       2319 |                         fractions
import time:       442 |        442 |                             sysconfig
import time:       970 |        970 |                             _sysconfigdata__linux_x86_64-linux-gnu
import time:       386 |       1797 |                           zoneinfo._tzpath
import time:       142 |        142 |                           zoneinfo._common
import time:        70 |         70 |                           _zoneinfo
import time:       159 |       2166 |                         zoneinfo
import time:        95 |         95 |                         pydantic._internal._import_utils
import time:       410 |       4989 |                       pydantic._internal._validators
import time:        64 |         64 |                             _wmi
import time:       380 |        444 |                           platform
import time:        30 |         30 |                           _uuid
import time:       322 |        794 |                         uuid
import time:        67 |         67 |                             pydantic._internal._internal_dataclass
import time:       832 |        898 |                           pydantic.aliases
import time:       186 |        186 |                             pydantic._internal._core_utils
import time:       378 |        378 |                             pydantic._internal._forward_ref
import time:       899 |        899 |                             pydantic._internal._utils
import time:       322 |       1783 |                           pydantic._internal._generics
import time:       666 |        666 |                             pydantic.config
import time:       196 |        861 |                           pydantic._internal._config
import time:       117 |        117 |                           pydantic._internal._docs_extraction
import time:       637 |       4294 |                         pydantic._internal._fields
import time:       123 |        123 |                         pydantic.annotated_handlers
import time:       277 |        277 |                           pydantic._internal._core_metadata
import time:      2840 |       2840 |                           pydantic._internal._decorators
import time:       816 |        816 |                               pydantic.plugin
import time:       208 |       1024 |                             pydantic.plugin._schema_validator
import time:       241 |       1264 |                           pydantic._internal._mock_val_ser
import time:       137 |        137 |                           pydantic._internal._schema_generation_shared
import time:      3142 |       7657 |                         pydantic.json_schema
import time:      4919 |      17786 |                       pydantic.types
import time:      1794 |      72486 |                     pydantic.fields
import time:       150 |        150 |                     langchain_core.version
import time:       685 |      73623 |                   langchain_core
import time:       110 |        110 |                           langchain_core.utils
import time:        57 |         57 |                               _csv
import time:       270 |        326 |                             csv
import time:       114 |        114 |                             email
import time:       128 |        128 |                                 importlib._abc
import time:       108 |        235 |                               importlib.util
import time:        87 |         87 |                                 zlib
import time:       257 |        257 |                                   _compression
import time:        45 |         45 |                                   _bz2
import time:       245 |        546 |                                 bz2
import time:        85 |         85 |                                   _lzma
import time:       259 |        343 |                                 lzma
import time:       784 |       1758 |                               shutil
import time:       182 |        182 |                                 zipfile._path.glob
import time:       534 |        715 |                               zipfile._path
import time:       924 |       3631 |                             zipfile
import time:       154 |        154 |                                 quopri
import time:        44 |         44 |                                       _bisect
import time:       221 |        264 |                                     bisect
import time:       101 |        101 |                                     _random
import time:       104 |        104 |                                     _sha2
import time:       431 |        899 |                                   random
import time:       992 |        992 |                                     calendar
import time:       290 |       1281 |                                   email._parseaddr
import time:       223 |        223 |                                     email.base64mime
import time:       280 |        280 |                                     email.quoprimime
import time:       418 |        418 |                                     email.errors
import time:       168 |        168 |                                     email.encoders
import time:       228 |       1316 |                                   email.charset
import time:       791 |       4285 |                                 email.utils
import time:       668 |        668 |                                   email.header
import time:       303 |        970 |                                 email._policybase
import time:       213 |        213 |                                 email._encoded_words
import time:       103 |        103 |                                 email.iterators
import time:       645 |       6368 |                               email.message
import time:        79 |         79 |                                 importlib.metadata._functools
import time:       129 |        207 |                               importlib.metadata._text
import time:       295 |       6869 |                             importlib.metadata._adapters
import time:       368 |        368 |                             importlib.metadata._meta
import time:       303 |        303 |                             importlib.metadata._collections
import time:        89 |         89 |                             importlib.metadata._itertools
import time:       425 |        425 |                                   tempfile
import time:       287 |        287 |                                   importlib.resources.abc
import time:       288 |        288 |                                   importlib.resources._adapters
import time:       348 |       1346 |                                 importlib.resources._common
import time:       130 |        130 |                                 importlib.resources._legacy
import time:       121 |       1596 |                               importlib.resources
import time:       297 |       1893 |                             importlib.abc
import time:      1067 |      14656 |                           importlib.metadata
import time:       222 |        222 |                             packaging
import time:      4546 |       4767 |                           packaging.version
import time:       733 |        733 |                                   http
import time:       566 |        566 |                                     email.feedparser
import time:       155 |        721 |                                   email.parser
import time:      1049 |       2502 |                                 http.client
import time:       774 |       3276 |                               urllib3.exceptions
import time:       415 |        415 |                                       urllib3.util.timeout
import time:       278 |        692 |                                     urllib3.util.connection
import time:       175 |        175 |                                       urllib3.util.util
import time:        94 |         94 |                                       brotlicffi
import time:       200 |        200 |                                         _brotli
import time:       202 |        402 |                                       brotli
import time:        83 |         83 |                                       backports
import time:       492 |       1243 |                                     urllib3.util.request
import time:       164 |        164 |                                     urllib3.util.response
import time:       416 |        416 |                                     urllib3.util.retry
import time:       817 |        817 |                                         _hashlib
import time:        44 |         44 |                                         _blake2
import time:       248 |       1108 |                                       hashlib
import time:       241 |        241 |                                       hmac
import time:      3832 |       3832 |                                       urllib3.util.url
import time:       256 |        256 |                                       urllib3.util.ssltransport
import time:       305 |       5741 |                                     urllib3.util.ssl_
import time:        97 |         97 |                                     urllib3.util.wait
import time:       148 |       8498 |                                   urllib3.util
import time:        22 |       8519 |                                 urllib3.util.connection
import time:       473 |       8992 |                               urllib3._base_connection
import time:       431 |        431 |                               urllib3._collections
import time:        83 |         83 |                               urllib3._version
import time:        41 |         41 |                                   _queue
import time:       185 |        225 |                                 queue
import time:        34 |         34 |                                         _json
import time:       233 |        266 |                                       json.scanner
import time:       530 |        796 |                                     json.decoder
import time:       426 |        426 |                                     json.encoder
import time:       156 |       1377 |                                   json
import time:        99 |         99 |                                         _winapi
import time:        73 |         73 |                                         winreg
import time:       394 |        566 |                                       mimetypes
import time:       427 |        992 |                                     urllib3.fields
import time:       220 |       1211 |                                   urllib3.filepost
import time:       115 |        115 |                                     brotlicffi
import time:       310 |        310 |                                       urllib3.http2
import time:       201 |        201 |                                       urllib3.http2.probe
import time:       244 |        244 |                                       urllib3.util.ssl_match_hostname
import time:      1439 |       2192 |                                     urllib3.connection
import time:        90 |         90 |                                     backports
import time:       803 |       3199 |                                   urllib3.response
import time:       339 |       6125 |                                 urllib3._request_methods
import time:        97 |         97 |                                 urllib3.util.proxy
import time:       362 |       6809 |                               urllib3.connectionpool
import time:       834 |        834 |                               urllib3.poolmanager
import time:       328 |      20749 |                             urllib3
import time:       437 |        437 |                                     81d243bd2c585b0f4821__mypyc
import time:      1141 |       1141 |                                     charset_normalizer.constant
import time:        47 |         47 |                                       unicodedata
import time:        39 |         39 |                                       _multibytecodec
import time:       402 |        487 |                                     charset_normalizer.utils
import time:       290 |        290 |                                     charset_normalizer.models
import time:       595 |       2947 |                                   charset_normalizer.cd
import time:        26 |         26 |                                   _codecs_tw
import time:        26 |         26 |                                   _codecs_hk
import time:        53 |         53 |                                   _codecs_jp
import time:        25 |         25 |                                   _codecs_kr
import time:        27 |         27 |                                   _codecs_cn
import time:        24 |         24 |                                   _codecs_iso2022
import time:     28097 |      31222 |                                 charset_normalizer.api
import time:       157 |        157 |                                 charset_normalizer.legacy
import time:        72 |         72 |                                 charset_normalizer.version
import time:        91 |         91 |                                 simplejson
import time:       198 |        198 |                                       urllib.response
import time:       232 |        429 |                                     urllib.error
import time:      1411 |       1839 |                                   urllib.request
import time:      2813 |       4652 |                                 http.cookiejar
import time:      4053 |       4053 |                                 http.cookies
import time:       461 |      40704 |                               requests.compat
import time:       386 |      41089 |                             requests.exceptions
import time:        74 |         74 |                             chardet
import time:       164 |        164 |                                   idna.idnadata
import time:        87 |         87 |                                   idna.intranges
import time:       648 |        897 |                                 idna.core
import time:        76 |         76 |                                 idna.package_data
import time:       136 |       1108 |                               idna
import time:       290 |       1398 |                             requests.packages
import time:       153 |        153 |                                   certifi.core
import time:       108 |        261 |                                 certifi
import time:        69 |        329 |                               requests.certs
import time:        71 |         71 |                               requests.__version__
import time:       231 |        231 |                               requests._internal_utils
import time:       246 |        246 |                               requests._types
import time:       350 |        350 |                               requests.cookies
import time:       234 |        234 |                               requests.structures
import time:       234 |        234 |                                   importlib.resources._itertools
import time:       317 |        550 |                                 importlib.resources.readers
import time:       122 |        672 |                               importlib.readers
import time:       638 |       2768 |                             requests.utils
import time:       475 |        475 |                                   requests.auth
import time:       445 |        445 |                                       stringprep
import time:       474 |        918 |                                     encodings.idna
import time:       203 |        203 |                                     requests.hooks
import time:       974 |        974 |                                     requests.status_codes
import time:       536 |       2629 |                                   requests.models
import time:       152 |        152 |                                     urllib3.contrib
import time:       714 |        714 |                                     socks
import time:       454 |       1319 |                                   urllib3.contrib.socks
import time:       415 |       4836 |                                 requests.adapters
import time:       392 |       5228 |                               requests.sessions
import time:       198 |       5426 |                             requests.api
import time:       472 |      71972 |                           requests
import time:      3063 |       3063 |                                 pydantic.functional_validators
import time:       268 |        268 |                                 pydantic._internal._discriminated_union
import time:       925 |        925 |                                 pydantic._internal._known_annotated_metadata
import time:       616 |        616 |                                 pydantic._internal._schema_gather
import time:       944 |       5815 |                               pydantic._internal._generate_schema
import time:       128 |        128 |                               pydantic._internal._signature
import time:       429 |       6371 |                             pydantic._internal._model_construction
import time:       109 |        109 |                             pydantic.plugin._loader
import time:       327 |        327 |                             pydantic._internal._decorators_v1
import time:       577 |        577 |                                     pydantic.v1.typing
import time:      1433 |       2009 |                                   pydantic.v1.errors
import time:        74 |         74 |                                       cython
import time:       228 |        302 |                                     pydantic.v1.version
import time:      2298 |       2599 |                                   pydantic.v1.utils
import time:       374 |       4981 |                                 pydantic.v1.class_validators
import time:       546 |        546 |                                 pydantic.v1.config
import time:       110 |        110 |                                       colorsys
import time:       546 |        655 |                                     pydantic.v1.color
import time:      1441 |       1441 |                                         pydantic.v1.datetime_parse
import time:       875 |       2316 |                                       pydantic.v1.validators
import time:      1058 |       3373 |                                     pydantic.v1.networks
import time:      2168 |       2168 |                                     pydantic.v1.types
import time:       470 |       6665 |                                   pydantic.v1.json
import time:       333 |       6998 |                                 pydantic.v1.error_wrappers
import time:       915 |        915 |                                 pydantic.v1.fields
import time:       271 |        271 |                                       _compat_pickle
import time:        85 |         85 |                                       _pickle
import time:       877 |       1231 |                                     pickle
import time:       328 |       1559 |                                   pydantic.v1.parse
import time:      1561 |       1561 |                                   pydantic.v1.schema
import time:      1074 |       4193 |                                 pydantic.v1.main
import time:       419 |      18049 |                               pydantic.v1.dataclasses
import time:       135 |        135 |                               pydantic.v1.annotated_types
